"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"182","2011","4","Haryana","Mahendragarh / Narnaul","38885.0","12847.0","2050.0","53782.0"
"182","2012","4","Haryana","Mahendragarh / Narnaul","46567.0","14954.0","0.0","61521.0"
"182","2013","4","Haryana","Mahendragarh / Narnaul","43069.0","8778.0","563.0","52410.0"
"182","2014","4","Haryana","Mahendragarh / Narnaul","41143.0","8214.0","748.0","50105.0"
"182","2015","4","Haryana","Mahendragarh / Narnaul","44442.0","15132.0","609.0","60183.0"
"182","2016","4","Haryana","Mahendragarh / Narnaul","42890.0","12232.0","1233.0","56355.0"
"182","2017","4","Haryana","Mahendragarh / Narnaul","41899.0","12834.0","1376.0","56109.0"
"183","2010","4","Haryana","Ambala","50168.0","17700.0","4447.0","72315.0"
"183","2011","4","Haryana","Ambala","43749.0","16815.0","3820.0","64384.0"
"183","2012","4","Haryana","Ambala","48409.0","12706.0","242.0","61357.0"
"183","2013","4","Haryana","Ambala","46851.0","8493.0","1241.0","56585.0"
"183","2014","4","Haryana","Ambala","46018.0","10388.0","2499.0","58905.0"
"183","2015","4","Haryana","Ambala","75143.0","16730.0","2414.0","94287.0"
"183","2016","4","Haryana","Ambala","60113.0","15307.0","5143.0","80563.0"
"183","2017","4","Haryana","Ambala","52876.0","13905.0","2388.0","69169.0"
"184","2010","4","Haryana","Karnal","139390.0","45379.0","3790.0","188559.0"
"184","2011","4","Haryana","Karnal","128514.0","46054.0","5273.0","179841.0"
"184","2012","4","Haryana","Karnal","133336.0","35824.0","2027.0","171187.0"
"184","2013","4","Haryana","Karnal","135938.0","20902.0","1237.0","158077.0"
"184","2014","4","Haryana","Karnal","147474.0","31755.0","3205.0","182434.0"
"184","2015","4","Haryana","Karnal","157171.0","30155.0","3310.0","190636.0"
"184","2016","4","Haryana","Karnal","127721.0","26554.0","2968.0","157243.0"
"184","2017","4","Haryana","Karnal","134233.0","28834.0","2694.0","165762.0"
"186","2010","4","Haryana","Rohtak","76430.0","27068.0","1619.0","105116.0"
"186","2011","4","Haryana","Rohtak","69583.0","28166.0","1367.0","99116.0"
"186","2012","4","Haryana","Rohtak","75606.0","18446.0","0.0","94052.0"
"186","2013","4","Haryana","Rohtak","64166.0","15572.0","832.0","80571.0"
"186","2014","4","Haryana","Rohtak","72276.0","16867.0","948.0","90091.0"
"186","2015","4","Haryana","Rohtak","73166.0","17937.0","2343.0","93446.0"
"186","2016","4","Haryana","Rohtak","64650.0","16625.0","1272.0","82547.0"
"186","2017","4","Haryana","Rohtak","68274.0","15636.0","1150.0","85060.0"
"189","2010","12","Uttar Pradesh","Saharanpur","30230.0","11349.0","2581.0","44160.0"
"189","2011","12","Uttar Pradesh","Saharanpur","37812.0","9730.0","1440.0","48982.0"
"189","2012","12","Uttar Pradesh","Saharanpur","49701.0","17149.0","1474.0","68324.0"
"189","2013","12","Uttar Pradesh","Saharanpur","43791.0","13424.0","1723.0","58938.0"
"189","2014","12","Uttar Pradesh","Saharanpur","50733.0","17054.0","3424.0","71211.0"
"189","2015","12","Uttar Pradesh","Saharanpur","41141.0","14797.0","2611.0","58549.0"
"189","2016","12","Uttar Pradesh","Saharanpur","44311.0","18470.0","2595.0","65376.0"
"189","2017","12","Uttar Pradesh","Saharanpur","33470.0","13944.0","1706.0","49120.0"
"190","2010","12","Uttar Pradesh","Muzaffarnagar","29394.0","8043.0","1538.0","38975.0"
"190","2011","12","Uttar Pradesh","Muzaffarnagar","25538.0","8313.0","1490.0","35341.0"
"190","2012","12","Uttar Pradesh","Muzaffarnagar","51477.0","18345.0","1326.0","71148.0"
"190","2013","12","Uttar Pradesh","Muzaffarnagar","43941.0","13996.0","1800.0","59737.0"
"190","2014","12","Uttar Pradesh","Muzaffarnagar","49049.0","15056.0","3319.0","67424.0"
"190","2015","12","Uttar Pradesh","Muzaffarnagar","38083.0","14456.0","3174.0","55713.0"
"190","2016","12","Uttar Pradesh","Muzaffarnagar","44846.0","19341.0","3327.0","67514.0"
"190","2017","12","Uttar Pradesh","Muzaffarnagar","22275.0","13614.0","2389.0","38278.0"
"191","2010","12","Uttar Pradesh","Meerut","70456.0","18983.0","5762.0","95200.0"
"191","2011","12","Uttar Pradesh","Meerut","70520.0","25269.0","3463.0","99253.0"
"191","2012","12","Uttar Pradesh","Meerut","68516.0","24419.0","1764.0","94699.0"
"191","2013","12","Uttar Pradesh","Meerut","58486.0","18629.0","2396.0","79512.0"
"191","2014","12","Uttar Pradesh","Meerut","65285.0","20040.0","4418.0","89743.0"
"191","2015","12","Uttar Pradesh","Meerut","50689.0","19241.0","4225.0","74155.0"
"191","2016","12","Uttar Pradesh","Meerut","59691.0","25745.0","4430.0","89865.0"
"191","2017","12","Uttar Pradesh","Meerut","57319.0","27113.0","3988.0","88421.0"
"192","2010","12","Uttar Pradesh","Buland Shahar","54192.0","14804.0","3564.0","72561.0"
"192","2011","12","Uttar Pradesh","Buland Shahar","38024.0","9575.0","1607.0","49205.0"
"192","2012","12","Uttar Pradesh","Buland Shahar","41236.0","14695.0","1063.0","56994.0"
"192","2013","12","Uttar Pradesh","Buland Shahar","35199.0","11211.0","1442.0","47851.0"
"192","2014","12","Uttar Pradesh","Buland Shahar","39291.0","12061.0","2658.0","54010.0"
"192","2015","12","Uttar Pradesh","Buland Shahar","30505.0","11579.0","2543.0","44627.0"
"192","2016","12","Uttar Pradesh","Buland Shahar","35924.0","15493.0","2665.0","54083.0"
"192","2017","12","Uttar Pradesh","Buland Shahar","39165.0","20734.0","3059.0","62957.0"
"194","2010","12","Uttar Pradesh","Aligarh","49698.0","17792.0","5533.0","73023.0"
"194","2011","12","Uttar Pradesh","Aligarh","53090.0","14260.0","1516.0","68866.0"
"194","2012","12","Uttar Pradesh","Aligarh","53265.0","18982.0","1372.0","73619.0"
"194","2013","12","Uttar Pradesh","Aligarh","45467.0","14481.0","1863.0","61811.0"
"194","2014","12","Uttar Pradesh","Aligarh","50753.0","15579.0","3434.0","69766.0"
"194","2015","12","Uttar Pradesh","Aligarh","39405.0","14958.0","3285.0","57648.0"
"194","2016","12","Uttar Pradesh","Aligarh","46403.0","20013.0","3443.0","69859.0"
"194","2017","12","Uttar Pradesh","Aligarh","50518.0","30580.0","5279.0","86377.0"
"195","2010","12","Uttar Pradesh","Mathura","21849.0","8073.0","1724.0","31646.0"
"195","2011","12","Uttar Pradesh","Mathura","25821.0","10591.0","393.0","36805.0"
"195","2012","12","Uttar Pradesh","Mathura","32673.0","11644.0","842.0","45159.0"
"195","2013","12","Uttar Pradesh","Mathura","27890.0","8883.0","1143.0","37916.0"
"195","2014","12","Uttar Pradesh","Mathura","31132.0","9557.0","2107.0","42796.0"
"195","2015","12","Uttar Pradesh","Mathura","24172.0","9175.0","2015.0","35362.0"
"195","2016","12","Uttar Pradesh","Mathura","28464.0","12276.0","2112.0","42852.0"
"195","2017","12","Uttar Pradesh","Mathura","27068.0","16698.0","1948.0","45714.0"
"196","2010","12","Uttar Pradesh","Agra","44034.0","17945.0","4951.0","66931.0"
"196","2011","12","Uttar Pradesh","Agra","40378.0","15422.0","1526.0","57326.0"
"196","2012","12","Uttar Pradesh","Agra","39219.0","13977.0","1011.0","54206.0"
"196","2013","12","Uttar Pradesh","Agra","33477.0","10663.0","1372.0","45511.0"
"196","2014","12","Uttar Pradesh","Agra","37368.0","11471.0","2529.0","51368.0"
"196","2015","12","Uttar Pradesh","Agra","29013.0","11013.0","2419.0","42445.0"
"196","2016","12","Uttar Pradesh","Agra","34166.0","14735.0","2535.0","51436.0"
"196","2017","12","Uttar Pradesh","Agra","50908.0","30629.0","13166.0","94703.0"
"197","2010","12","Uttar Pradesh","Mainpuri","42886.0","13136.0","3081.0","59102.0"
"197","2011","12","Uttar Pradesh","Mainpuri","36837.0","12761.0","1317.0","50915.0"
"197","2012","12","Uttar Pradesh","Mainpuri","37130.0","13233.0","957.0","51321.0"
"197","2013","12","Uttar Pradesh","Mainpuri","31694.0","10095.0","1299.0","43089.0"
"197","2014","12","Uttar Pradesh","Mainpuri","35379.0","10860.0","2394.0","48633.0"
"197","2015","12","Uttar Pradesh","Mainpuri","27469.0","10427.0","2290.0","40186.0"
"197","2016","12","Uttar Pradesh","Mainpuri","32347.0","13951.0","2401.0","48699.0"
"197","2017","12","Uttar Pradesh","Mainpuri","45979.0","24658.0","2456.0","73093.0"
"198","2010","12","Uttar Pradesh","Etah","39543.0","12195.0","2686.0","54424.0"
"198","2011","12","Uttar Pradesh","Etah","42192.0","14137.0","1804.0","58133.0"
"198","2012","12","Uttar Pradesh","Etah","37919.0","13514.0","977.0","52410.0"
"198","2013","12","Uttar Pradesh","Etah","32369.0","10309.0","1327.0","44005.0"
"198","2014","12","Uttar Pradesh","Etah","36132.0","11091.0","2445.0","49668.0"
"198","2015","12","Uttar Pradesh","Etah","28053.0","10648.0","2339.0","41040.0"
"198","2016","12","Uttar Pradesh","Etah","33035.0","14247.0","2452.0","49734.0"
"198","2017","12","Uttar Pradesh","Etah","41080.0","20466.0","2535.0","64081.0"
"199","2010","12","Uttar Pradesh","Bareilly","39599.0","9298.0","2414.0","51311.0"
"199","2011","12","Uttar Pradesh","Bareilly","36315.0","6858.0","607.0","43780.0"
"199","2012","12","Uttar Pradesh","Bareilly","41404.0","14756.0","1067.0","57227.0"
"199","2013","12","Uttar Pradesh","Bareilly","35343.0","11257.0","1448.0","48048.0"
"199","2014","12","Uttar Pradesh","Bareilly","39451.0","12110.0","2670.0","54231.0"
"199","2015","12","Uttar Pradesh","Bareilly","30631.0","11627.0","2553.0","44811.0"
"199","2016","12","Uttar Pradesh","Bareilly","36071.0","15557.0","2677.0","54305.0"
"199","2017","12","Uttar Pradesh","Bareilly","37017.0","12536.0","1509.0","51062.0"
"200","2010","12","Uttar Pradesh","Budaun","37210.0","7548.0","1903.0","46661.0"
"200","2011","12","Uttar Pradesh","Budaun","34815.0","8922.0","1406.0","45143.0"
"200","2012","12","Uttar Pradesh","Budaun","53887.0","19204.0","1389.0","74480.0"
"200","2013","12","Uttar Pradesh","Budaun","45999.0","14651.0","1885.0","62535.0"
"200","2014","12","Uttar Pradesh","Budaun","51346.0","15762.0","3475.0","70583.0"
"200","2015","12","Uttar Pradesh","Budaun","39866.0","15132.0","3324.0","58321.0"
"200","2016","12","Uttar Pradesh","Budaun","46946.0","20247.0","3483.0","70676.0"
"200","2017","12","Uttar Pradesh","Budaun","44876.0","18087.0","2578.0","65542.0"
"201","2010","12","Uttar Pradesh","Moradabad","72680.0","16087.0","4009.0","92776.0"
"201","2011","12","Uttar Pradesh","Moradabad","56217.0","11603.0","691.0","68511.0"
"201","2012","12","Uttar Pradesh","Moradabad","61654.0","21972.0","1589.0","85215.0"
"201","2013","12","Uttar Pradesh","Moradabad","52629.0","16763.0","2157.0","71549.0"
"201","2014","12","Uttar Pradesh","Moradabad","58746.0","18033.0","3975.0","80754.0"
"201","2015","12","Uttar Pradesh","Moradabad","45611.0","17314.0","3803.0","66728.0"
