clock,variant,view,head,alpha,candidate_weight,development_anchor_rmse,development_model_rmse,development_years_improved,development_cells_improved,eligible
jan15,crop_only,response,direct,1000.0,1.0,296.75187765522213,572.5246244356042,0,0,False
jan15,crop_only,response,direct,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response,direct,10000.0,0.1,296.75187765522213,296.03573257233325,1,3,False
jan15,crop_only,response,direct,10000.0,0.25,296.75187765522213,316.6630193247378,1,3,False
jan15,crop_only,response,direct,10000.0,0.5,296.75187765522213,395.903495664283,0,1,False
jan15,crop_only,response,direct,10000.0,0.75,296.75187765522213,507.39925808570024,0,1,False
jan15,crop_only,response,direct,10000.0,1.0,296.75187765522213,634.3648441457168,0,0,False
jan15,crop_only,response,residual,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response,residual,100.0,0.1,296.75187765522213,297.7881192451635,1,3,False
jan15,crop_only,response,residual,100.0,0.25,296.75187765522213,300.0677954355615,0,3,False
jan15,crop_only,response,residual,100.0,0.5,296.75187765522213,305.74877123461624,0,3,False
jan15,crop_only,response,residual,100.0,0.75,296.75187765522213,313.66632693621904,0,3,False
jan15,crop_only,response,residual,100.0,1.0,296.75187765522213,323.65636481321064,0,3,False
jan15,crop_only,response,residual,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response,residual,1000.0,0.1,296.75187765522213,297.21310722123775,1,3,False
jan15,crop_only,response,residual,1000.0,0.25,296.75187765522213,298.3939689870284,1,3,False
jan15,crop_only,response,residual,1000.0,0.5,296.75187765522213,301.64698835202023,1,2,False
jan15,crop_only,response,residual,1000.0,0.75,296.75187765522213,306.4596408239368,1,2,False
jan15,crop_only,response,residual,1000.0,1.0,296.75187765522213,312.75993724278254,0,2,False
jan15,crop_only,response,residual,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response,residual,10000.0,0.1,296.75187765522213,297.26721000753054,1,3,False
jan15,crop_only,response,residual,10000.0,0.25,296.75187765522213,298.3980644803019,1,3,False
jan15,crop_only,response,residual,10000.0,0.5,296.75187765522213,301.2240291603099,1,3,False
jan15,crop_only,response,residual,10000.0,0.75,296.75187765522213,305.1970010760957,1,3,False
jan15,crop_only,response,residual,10000.0,1.0,296.75187765522213,310.27292188072715,1,2,False
jan15,crop_only,response_tabular,change,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,change,100.0,0.1,296.75187765522213,295.19686403482854,2,5,True
jan15,crop_only,response_tabular,change,100.0,0.25,296.75187765522213,295.06933865295025,1,4,False
jan15,crop_only,response_tabular,change,100.0,0.5,296.75187765522213,300.70198043483936,1,3,False
jan15,crop_only,response_tabular,change,100.0,0.75,296.75187765522213,313.25544873941953,0,2,False
jan15,crop_only,response_tabular,change,100.0,1.0,296.75187765522213,331.9454774440995,0,2,False
jan15,crop_only,response_tabular,change,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,change,1000.0,0.1,296.75187765522213,298.47992613102264,0,3,False
jan15,crop_only,response_tabular,change,1000.0,0.25,296.75187765522213,302.9323019243873,0,1,False
jan15,crop_only,response_tabular,change,1000.0,0.5,296.75187765522213,315.0508625130288,0,1,False
jan15,crop_only,response_tabular,change,1000.0,0.75,296.75187765522213,332.4588337747782,0,1,False
jan15,crop_only,response_tabular,change,1000.0,1.0,296.75187765522213,354.3775812650327,0,1,False
jan15,crop_only,response_tabular,change,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,change,10000.0,0.1,296.75187765522213,299.3737336318364,0,2,False
jan15,crop_only,response_tabular,change,10000.0,0.25,296.75187765522213,305.9378000144464,0,2,False
jan15,crop_only,response_tabular,change,10000.0,0.5,296.75187765522213,323.36321818713685,0,1,False
jan15,crop_only,response_tabular,change,10000.0,0.75,296.75187765522213,347.7918588579775,0,0,False
jan15,crop_only,response_tabular,change,10000.0,1.0,296.75187765522213,377.8679082858397,0,0,False
jan15,crop_only,response_tabular,direct,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,direct,100.0,0.1,296.75187765522213,290.6364792797489,2,5,True
jan15,crop_only,response_tabular,direct,100.0,0.25,296.75187765522213,283.38918176612316,2,5,True
jan15,crop_only,response_tabular,direct,100.0,0.5,296.75187765522213,276.8585071673287,2,5,True
jan15,crop_only,response_tabular,direct,100.0,0.75,296.75187765522213,277.64237939919576,2,5,True
jan15,crop_only,response_tabular,direct,100.0,1.0,296.75187765522213,285.68059416881687,1,4,False
jan15,crop_only,response_tabular,direct,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,direct,1000.0,0.1,296.75187765522213,291.9698124244884,1,4,False
jan15,crop_only,response_tabular,direct,1000.0,0.25,296.75187765522213,288.82485907444385,1,4,False
jan15,crop_only,response_tabular,direct,1000.0,0.5,296.75187765522213,294.5604782456866,1,4,False
jan15,crop_only,response_tabular,direct,1000.0,0.75,296.75187765522213,313.20904403731026,1,4,False
jan15,crop_only,response_tabular,direct,1000.0,1.0,296.75187765522213,342.66877445528456,1,3,False
jan15,crop_only,response_tabular,direct,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,direct,10000.0,0.1,296.75187765522213,293.4201757849567,1,4,False
jan15,crop_only,response_tabular,direct,10000.0,0.25,296.75187765522213,299.74840672114834,1,4,False
jan15,crop_only,response_tabular,direct,10000.0,0.5,296.75187765522213,337.60966172529186,1,2,False
jan15,crop_only,response_tabular,direct,10000.0,0.75,296.75187765522213,400.5686033216994,0,2,False
jan15,crop_only,response_tabular,direct,10000.0,1.0,296.75187765522213,478.82551536270483,0,1,False
jan15,crop_only,response_tabular,residual,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,residual,100.0,0.1,296.75187765522213,295.28468786159567,2,4,True
jan15,crop_only,response_tabular,residual,100.0,0.25,296.75187765522213,295.07765006556997,1,4,False
jan15,crop_only,response_tabular,residual,100.0,0.5,296.75187765522213,300.0261453364257,0,2,False
jan15,crop_only,response_tabular,residual,100.0,0.75,296.75187765522213,311.28167604847096,0,2,False
jan15,crop_only,response_tabular,residual,100.0,1.0,296.75187765522213,328.19598023521314,0,2,False
jan15,crop_only,response_tabular,residual,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,residual,1000.0,0.1,296.75187765522213,297.16386995318146,0,4,False
jan15,crop_only,response_tabular,residual,1000.0,0.25,296.75187765522213,298.2581621004923,0,4,False
jan15,crop_only,response_tabular,residual,1000.0,0.5,296.75187765522213,301.3347433873898,0,4,False
jan15,crop_only,response_tabular,residual,1000.0,0.75,296.75187765522213,305.93425082890195,0,2,False
jan15,crop_only,response_tabular,residual,1000.0,1.0,296.75187765522213,311.98933640952515,0,2,False
jan15,crop_only,response_tabular,residual,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,crop_only,response_tabular,residual,10000.0,0.1,296.75187765522213,297.282599621194,1,2,False
jan15,crop_only,response_tabular,residual,10000.0,0.25,296.75187765522213,298.3352240112678,1,2,False
jan15,crop_only,response_tabular,residual,10000.0,0.5,296.75187765522213,300.76514422279416,1,2,False
jan15,crop_only,response_tabular,residual,10000.0,0.75,296.75187765522213,304.02133999509687,1,2,False
jan15,crop_only,response_tabular,residual,10000.0,1.0,296.75187765522213,308.07761272936045,1,2,False
jan15,full,response,change,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,change,100.0,0.1,296.75187765522213,303.3221656491743,0,2,False
jan15,full,response,change,100.0,0.25,296.75187765522213,317.4678419220369,0,1,False
jan15,full,response,change,100.0,0.5,296.75187765522213,350.8109694333676,0,0,False
jan15,full,response,change,100.0,0.75,296.75187765522213,393.5850527552223,0,0,False
jan15,full,response,change,100.0,1.0,296.75187765522213,443.0670413010783,0,0,False
jan15,full,response,change,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,change,1000.0,0.1,296.75187765522213,301.39494523837146,0,2,False
jan15,full,response,change,1000.0,0.25,296.75187765522213,312.02092512278267,0,1,False
jan15,full,response,change,1000.0,0.5,296.75187765522213,338.36874400246194,0,1,False
jan15,full,response,change,1000.0,0.75,296.75187765522213,373.45779480669466,0,1,False
jan15,full,response,change,1000.0,1.0,296.75187765522213,415.0771138797032,0,0,False
jan15,full,response,change,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,change,10000.0,0.1,296.75187765522213,300.39989355173674,0,2,False
jan15,full,response,change,10000.0,0.25,296.75187765522213,309.2978136259283,0,1,False
jan15,full,response,change,10000.0,0.5,296.75187765522213,332.35519241513373,0,1,False
jan15,full,response,change,10000.0,0.75,296.75187765522213,363.93156791691365,0,1,False
jan15,full,response,change,10000.0,1.0,296.75187765522213,402.02459392090327,0,1,False
jan15,full,response,direct,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,direct,100.0,0.1,296.75187765522213,285.10323006561526,2,5,True
jan15,full,response,direct,100.0,0.25,296.75187765522213,278.2141446250422,2,5,True
jan15,full,response,direct,100.0,0.5,296.75187765522213,296.1382515918998,1,4,False
jan15,full,response,direct,100.0,0.75,296.75187765522213,344.8853987215032,0,1,False
jan15,full,response,direct,100.0,1.0,296.75187765522213,413.69956835316196,0,0,False
jan15,full,response,direct,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,direct,1000.0,0.1,296.75187765522213,289.1610414486328,2,5,True
jan15,full,response,direct,1000.0,0.25,296.75187765522213,287.06940984612913,1,4,False
jan15,full,response,direct,1000.0,0.5,296.75187765522213,308.18228508564437,1,3,False
jan15,full,response,direct,1000.0,0.75,296.75187765522213,354.63234653019657,0,2,False
jan15,full,response,direct,1000.0,1.0,296.75187765522213,418.0576361748665,0,0,False
jan15,full,response,direct,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,direct,10000.0,0.1,296.75187765522213,292.4615787312322,1,3,False
jan15,full,response,direct,10000.0,0.25,296.75187765522213,299.23094891795483,1,3,False
jan15,full,response,direct,10000.0,0.5,296.75187765522213,342.0635026322426,0,3,False
jan15,full,response,direct,10000.0,0.75,296.75187765522213,412.8759063205258,0,1,False
jan15,full,response,direct,10000.0,1.0,296.75187765522213,499.91637635829835,0,1,False
jan15,full,response,residual,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,residual,100.0,0.1,296.75187765522213,299.02669581220636,0,1,False
jan15,full,response,residual,100.0,0.25,296.75187765522213,303.4507769177714,0,1,False
jan15,full,response,residual,100.0,0.5,296.75187765522213,313.38686777721415,0,1,False
jan15,full,response,residual,100.0,0.75,296.75187765522213,326.2645269433102,0,1,False
jan15,full,response,residual,100.0,1.0,296.75187765522213,341.7513890988385,0,1,False
jan15,full,response,residual,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,residual,1000.0,0.1,296.75187765522213,298.2562442184203,1,3,False
jan15,full,response,residual,1000.0,0.25,296.75187765522213,301.2429251422862,1,2,False
jan15,full,response,residual,1000.0,0.5,296.75187765522213,308.10022259720745,1,2,False
jan15,full,response,residual,1000.0,0.75,296.75187765522213,317.17033048569203,0,1,False
jan15,full,response,residual,1000.0,1.0,296.75187765522213,328.2698799404905,0,0,False
jan15,full,response,residual,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response,residual,10000.0,0.1,296.75187765522213,297.76340983468253,1,3,False
jan15,full,response,residual,10000.0,0.25,296.75187765522213,299.7618490858055,1,3,False
jan15,full,response,residual,10000.0,0.5,296.75187765522213,304.3455138877693,1,2,False
jan15,full,response,residual,10000.0,0.75,296.75187765522213,310.43317132791594,1,2,False
jan15,full,response,residual,10000.0,1.0,296.75187765522213,317.93844102063497,1,2,False
jan15,full,response_tabular,change,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,change,100.0,0.1,296.75187765522213,296.6541063229386,1,3,False
jan15,full,response_tabular,change,100.0,0.25,296.75187765522213,299.31584009107144,1,2,False
jan15,full,response_tabular,change,100.0,0.5,296.75187765522213,310.9599153251351,0,2,False
jan15,full,response_tabular,change,100.0,0.75,296.75187765522213,330.72642368077277,0,2,False
jan15,full,response_tabular,change,100.0,1.0,296.75187765522213,357.2697402165487,0,0,False
jan15,full,response_tabular,change,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,change,1000.0,0.1,296.75187765522213,299.31377513372223,0,3,False
jan15,full,response_tabular,change,1000.0,0.25,296.75187765522213,305.5287918902026,0,3,False
jan15,full,response_tabular,change,1000.0,0.5,296.75187765522213,321.7593333870186,0,1,False
jan15,full,response_tabular,change,1000.0,0.75,296.75187765522213,344.3912814448349,0,1,False
jan15,full,response_tabular,change,1000.0,1.0,296.75187765522213,372.2589166353941,0,0,False
jan15,full,response_tabular,change,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,change,10000.0,0.1,296.75187765522213,300.09921621715347,0,2,False
jan15,full,response_tabular,change,10000.0,0.25,296.75187765522213,308.05092344844536,0,2,False
jan15,full,response_tabular,change,10000.0,0.5,296.75187765522213,328.4192322566248,0,1,False
jan15,full,response_tabular,change,10000.0,0.75,296.75187765522213,356.3048398880833,0,1,False
jan15,full,response_tabular,change,10000.0,1.0,296.75187765522213,390.0989770204035,0,0,False
jan15,full,response_tabular,direct,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,direct,100.0,0.1,296.75187765522213,289.9837276194147,2,5,True
jan15,full,response_tabular,direct,100.0,0.25,296.75187765522213,282.2345152537003,2,5,True
jan15,full,response_tabular,direct,100.0,0.5,296.75187765522213,276.2711296349929,2,5,True
jan15,full,response_tabular,direct,100.0,0.75,296.75187765522213,279.40995562043156,2,5,True
jan15,full,response_tabular,direct,100.0,1.0,296.75187765522213,291.35696368980194,1,5,False
jan15,full,response_tabular,direct,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,direct,1000.0,0.1,296.75187765522213,290.386591378866,2,5,True
jan15,full,response_tabular,direct,1000.0,0.25,296.75187765522213,284.56415751361743,2,4,True
jan15,full,response_tabular,direct,1000.0,0.5,296.75187765522213,285.34129695848117,1,4,False
jan15,full,response_tabular,direct,1000.0,0.75,296.75187765522213,298.9822150520659,1,4,False
jan15,full,response_tabular,direct,1000.0,1.0,296.75187765522213,323.8655388334945,1,4,False
jan15,full,response_tabular,direct,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,direct,10000.0,0.1,296.75187765522213,291.9268082807669,1,4,False
jan15,full,response_tabular,direct,10000.0,0.25,296.75187765522213,293.45075539854895,1,4,False
jan15,full,response_tabular,direct,10000.0,0.5,296.75187765522213,318.3405521249069,1,4,False
jan15,full,response_tabular,direct,10000.0,0.75,296.75187765522213,365.70994072014855,0,2,False
jan15,full,response_tabular,direct,10000.0,1.0,296.75187765522213,428.1617763030827,0,1,False
jan15,full,response_tabular,residual,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,residual,100.0,0.1,296.75187765522213,295.07537933392496,2,3,False
jan15,full,response_tabular,residual,100.0,0.25,296.75187765522213,294.3154598625067,1,3,False
jan15,full,response_tabular,residual,100.0,0.5,296.75187765522213,297.74070044339345,1,3,False
jan15,full,response_tabular,residual,100.0,0.75,296.75187765522213,306.83135636898504,0,2,False
jan15,full,response_tabular,residual,100.0,1.0,296.75187765522213,321.1066171323856,0,2,False
jan15,full,response_tabular,residual,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,residual,1000.0,0.1,296.75187765522213,297.18447828822195,1,3,False
jan15,full,response_tabular,residual,1000.0,0.25,296.75187765522213,298.3769867507404,1,3,False
jan15,full,response_tabular,residual,1000.0,0.5,296.75187765522213,301.7924169999172,1,3,False
jan15,full,response_tabular,residual,1000.0,0.75,296.75187765522213,306.9384092949286,0,2,False
jan15,full,response_tabular,residual,1000.0,1.0,296.75187765522213,313.7298179134381,0,2,False
jan15,full,response_tabular,residual,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,full,response_tabular,residual,10000.0,0.1,296.75187765522213,297.67465469478486,1,2,False
jan15,full,response_tabular,residual,10000.0,0.25,296.75187765522213,299.4246749315775,1,2,False
jan15,full,response_tabular,residual,10000.0,0.5,296.75187765522213,303.2970473740264,1,2,False
jan15,full,response_tabular,residual,10000.0,0.75,296.75187765522213,308.3238003392937,1,1,False
jan15,full,response_tabular,residual,10000.0,1.0,296.75187765522213,314.44957733707884,1,1,False
jan15,no_future,response,change,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,change,100.0,0.1,296.75187765522213,303.35398390656025,0,2,False
jan15,no_future,response,change,100.0,0.25,296.75187765522213,318.9915940344396,0,1,False
jan15,no_future,response,change,100.0,0.5,296.75187765522213,357.8823488882818,0,1,False
jan15,no_future,response,change,100.0,0.75,296.75187765522213,408.69804579344805,0,1,False
jan15,no_future,response,change,100.0,1.0,296.75187765522213,467.5666669400217,0,1,False
jan15,no_future,response,change,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,change,1000.0,0.1,296.75187765522213,301.4701854208353,0,2,False
jan15,no_future,response,change,1000.0,0.25,296.75187765522213,313.0444924395425,0,1,False
jan15,no_future,response,change,1000.0,0.5,296.75187765522213,342.82307060089124,0,1,False
jan15,no_future,response,change,1000.0,0.75,296.75187765522213,382.9544194292299,0,1,False
jan15,no_future,response,change,1000.0,1.0,296.75187765522213,430.55329881350974,0,1,False
jan15,no_future,response,change,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,change,10000.0,0.1,296.75187765522213,300.345597156473,0,2,False
jan15,no_future,response,change,10000.0,0.25,296.75187765522213,309.45139189328256,0,1,False
jan15,no_future,response,change,10000.0,0.5,296.75187765522213,333.5245131100456,0,1,False
jan15,no_future,response,change,10000.0,0.75,296.75187765522213,366.73830941654967,0,1,False
jan15,no_future,response,change,10000.0,1.0,296.75187765522213,406.8603251607828,0,1,False
jan15,no_future,response,direct,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,direct,100.0,0.1,296.75187765522213,298.44678980843156,1,3,False
jan15,no_future,response,direct,100.0,0.25,296.75187765522213,325.9022442641059,0,2,False
jan15,no_future,response,direct,100.0,0.5,296.75187765522213,420.06917251445674,0,1,False
jan15,no_future,response,direct,100.0,0.75,296.75187765522213,546.6252715834663,0,0,False
jan15,no_future,response,direct,100.0,1.0,296.75187765522213,687.9211483349925,0,0,False
jan15,no_future,response,direct,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,direct,1000.0,0.1,296.75187765522213,300.05123921406926,1,4,False
jan15,no_future,response,direct,1000.0,0.25,296.75187765522213,325.3713819172252,1,3,False
jan15,no_future,response,direct,1000.0,0.5,296.75187765522213,408.18135168367314,0,2,False
jan15,no_future,response,direct,1000.0,0.75,296.75187765522213,519.902025353486,0,2,False
jan15,no_future,response,direct,1000.0,1.0,296.75187765522213,645.6971708810282,0,0,False
jan15,no_future,response,direct,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,direct,10000.0,0.1,296.75187765522213,297.0188905755121,1,3,False
jan15,no_future,response,direct,10000.0,0.25,296.75187765522213,314.28103003613575,1,3,False
jan15,no_future,response,direct,10000.0,0.5,296.75187765522213,379.2956815749817,0,2,False
jan15,no_future,response,direct,10000.0,0.75,296.75187765522213,472.5882156322417,0,1,False
jan15,no_future,response,direct,10000.0,1.0,296.75187765522213,580.6856191776092,0,1,False
jan15,no_future,response,residual,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,residual,100.0,0.1,296.75187765522213,299.41367876024157,1,3,False
jan15,no_future,response,residual,100.0,0.25,296.75187765522213,305.0409795371001,1,3,False
jan15,no_future,response,residual,100.0,0.5,296.75187765522213,318.49978238377025,1,2,False
jan15,no_future,response,residual,100.0,0.75,296.75187765522213,336.5085636897914,1,2,False
jan15,no_future,response,residual,100.0,1.0,296.75187765522213,358.3820661962951,0,2,False
jan15,no_future,response,residual,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,residual,1000.0,0.1,296.75187765522213,298.76016987334856,1,3,False
jan15,no_future,response,residual,1000.0,0.25,296.75187765522213,302.91470436199046,1,3,False
jan15,no_future,response,residual,1000.0,0.5,296.75187765522213,312.73856762125894,1,2,False
jan15,no_future,response,residual,1000.0,0.75,296.75187765522213,325.8925552527303,1,2,False
jan15,no_future,response,residual,1000.0,1.0,296.75187765522213,341.992625348535,0,2,False
jan15,no_future,response,residual,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response,residual,10000.0,0.1,296.75187765522213,297.8247215572939,1,3,False
jan15,no_future,response,residual,10000.0,0.25,296.75187765522213,299.9855140544331,1,3,False
jan15,no_future,response,residual,10000.0,0.5,296.75187765522213,305.02018606197566,1,3,False
jan15,no_future,response,residual,10000.0,0.75,296.75187765522213,311.76865249771214,1,2,False
jan15,no_future,response,residual,10000.0,1.0,296.75187765522213,320.1225467963376,1,2,False
jan15,no_future,response_tabular,change,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,change,100.0,0.1,296.75187765522213,297.395895395113,1,4,False
jan15,no_future,response_tabular,change,100.0,0.25,296.75187765522213,301.38226335517857,1,4,False
jan15,no_future,response_tabular,change,100.0,0.5,296.75187765522213,315.66461970352736,1,3,False
jan15,no_future,response_tabular,change,100.0,0.75,296.75187765522213,338.3789699351113,0,3,False
jan15,no_future,response_tabular,change,100.0,1.0,296.75187765522213,367.9671101476507,0,3,False
jan15,no_future,response_tabular,change,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,change,1000.0,0.1,296.75187765522213,300.259445000093,0,2,False
jan15,no_future,response_tabular,change,1000.0,0.25,296.75187765522213,308.6685465050782,0,2,False
jan15,no_future,response_tabular,change,1000.0,0.5,296.75187765522213,330.2862952720584,0,1,False
jan15,no_future,response_tabular,change,1000.0,0.75,296.75187765522213,359.8610462676547,0,1,False
jan15,no_future,response_tabular,change,1000.0,1.0,296.75187765522213,395.61228359403464,0,1,False
jan15,no_future,response_tabular,change,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,change,10000.0,0.1,296.75187765522213,300.2113222482102,0,2,False
jan15,no_future,response_tabular,change,10000.0,0.25,296.75187765522213,308.6178044874069,0,2,False
jan15,no_future,response_tabular,change,10000.0,0.5,296.75187765522213,330.3979219559187,0,1,False
jan15,no_future,response_tabular,change,10000.0,0.75,296.75187765522213,360.2987505534623,0,1,False
jan15,no_future,response_tabular,change,10000.0,1.0,296.75187765522213,396.48727306108754,0,0,False
jan15,no_future,response_tabular,direct,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,direct,100.0,0.1,296.75187765522213,292.4213188707404,2,5,True
jan15,no_future,response_tabular,direct,100.0,0.25,296.75187765522213,288.96565628195555,1,5,False
jan15,no_future,response_tabular,direct,100.0,0.5,296.75187765522213,291.54921689576366,1,4,False
jan15,no_future,response_tabular,direct,100.0,0.75,296.75187765522213,304.2384968706544,1,3,False
jan15,no_future,response_tabular,direct,100.0,1.0,296.75187765522213,325.85503191942223,1,2,False
jan15,no_future,response_tabular,direct,1000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,direct,1000.0,0.1,296.75187765522213,294.40725175133105,1,4,False
jan15,no_future,response_tabular,direct,1000.0,0.25,296.75187765522213,297.9189326961719,1,4,False
jan15,no_future,response_tabular,direct,1000.0,0.5,296.75187765522213,321.42413462056,1,3,False
jan15,no_future,response_tabular,direct,1000.0,0.75,296.75187765522213,362.9532042359579,1,3,False
jan15,no_future,response_tabular,direct,1000.0,1.0,296.75187765522213,417.15746775593675,0,2,False
jan15,no_future,response_tabular,direct,10000.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,direct,10000.0,0.1,296.75187765522213,294.7225953967153,1,4,False
jan15,no_future,response_tabular,direct,10000.0,0.25,296.75187765522213,302.4747501363787,1,4,False
jan15,no_future,response_tabular,direct,10000.0,0.5,296.75187765522213,341.10629247075656,1,4,False
jan15,no_future,response_tabular,direct,10000.0,0.75,296.75187765522213,403.29798136259205,0,3,False
jan15,no_future,response_tabular,direct,10000.0,1.0,296.75187765522213,479.97734477166085,0,2,False
jan15,no_future,response_tabular,residual,100.0,0.0,296.75187765522213,296.75187765522213,0,0,False
jan15,no_future,response_tabular,residual,100.0,0.1,296.75187765522213,295.98721326696614,1,4,False
jan15,no_future,response_tabular,residual,100.0,0.25,296.75187765522213,296.34510801972965,1,4,False
