clock,variant,view,c_value,v13_weight,development_auc,development_brier,selection_score
jan15,crop_only,response_tabular,0.1,0.15000000000000002,0.7698241061130334,0.19697348642473114,0.7304294088280872
jan15,crop_only,response_tabular,0.1,0.2,0.7701845444059978,0.19658259966900424,0.730868024472197
jan15,crop_only,response_tabular,0.1,0.25,0.7674452133794694,0.19644614210180542,0.7281559849591083
jan15,crop_only,response_tabular,0.1,0.30000000000000004,0.7659313725490196,0.1965641137231348,0.7266185498043926
jan15,crop_only,response_tabular,0.1,0.35000000000000003,0.7631199538638985,0.1969365145329922,0.7237326509573001
jan15,crop_only,response_tabular,0.1,0.4,0.7605968858131488,0.19756334453137772,0.7210842169068732
jan15,crop_only,response_tabular,0.1,0.45,0.759083044982699,0.19844460371829137,0.7193941242390407
jan15,crop_only,response_tabular,0.1,0.5,0.7559111880046135,0.1995802920937331,0.7159951295858669
jan15,crop_only,response_tabular,0.5,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,crop_only,response_tabular,0.5,0.05,0.7725634371395617,0.1975243255003825,0.7330585720394851
jan15,crop_only,response_tabular,0.5,0.1,0.7764561707035756,0.19583228559367774,0.7372897135848401
jan15,crop_only,response_tabular,0.5,0.15000000000000002,0.776672433679354,0.19459660210296628,0.7377531132587607
jan15,crop_only,response_tabular,0.5,0.2,0.7740772779700115,0.1938172750282482,0.7353138229643619
jan15,crop_only,response_tabular,0.5,0.25,0.7702566320645906,0.19349430436952336,0.731557771190686
jan15,crop_only,response_tabular,0.5,0.30000000000000004,0.7693915801614762,0.1936276901267919,0.7306660421361179
jan15,crop_only,response_tabular,0.5,0.35000000000000003,0.7682381776239907,0.19421743230005376,0.7293946911639799
jan15,crop_only,response_tabular,0.5,0.4,0.7664359861591695,0.19526353088930887,0.7273832799813078
jan15,crop_only,response_tabular,0.5,0.45,0.7659313725490197,0.19676598589455735,0.7265781753701082
jan15,crop_only,response_tabular,0.5,0.5,0.7635524798154555,0.19872479731579917,0.7238075203522957
jan15,full,response,0.005,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response,0.005,0.05,0.7660034602076126,0.20043737763749023,0.7259159846801145
jan15,full,response,0.005,0.1,0.7634803921568628,0.20152930405875802,0.7231745313451112
jan15,full,response,0.005,0.15000000000000002,0.7604527104959632,0.20294850108688395,0.7198630102785863
jan15,full,response,0.005,0.2,0.7565599769319493,0.204694968721868,0.7156209831875757
jan15,full,response,0.005,0.25,0.7507929642445214,0.2067687069637102,0.7094392228517793
jan15,full,response,0.005,0.30000000000000004,0.7434400230680508,0.20916971581241048,0.7016060799055687
jan15,full,response,0.005,0.35000000000000003,0.7360149942329873,0.21189799526796893,0.6936353951793935
jan15,full,response,0.005,0.4,0.7216695501730105,0.2149535453303855,0.6786788411069333
jan15,full,response,0.005,0.45,0.7066753171856978,0.21833636599966014,0.6630080439857657
jan15,full,response,0.005,0.5,0.6908881199538638,0.222046457275793,0.6464788284987052
jan15,full,response,0.02,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response,0.02,0.05,0.7636966551326413,0.2008338299672185,0.7235298891391976
jan15,full,response,0.02,0.1,0.7592272202998847,0.20250260666475767,0.7187266989669331
jan15,full,response,0.02,0.15000000000000002,0.7530276816608997,0.20467905191569805,0.7120918712777601
jan15,full,response,0.02,0.2,0.7430795847750865,0.2073631657200397,0.7016069516310786
jan15,full,response,0.02,0.25,0.7277970011534025,0.21055494807778255,0.685686011537846
jan15,full,response,0.02,0.30000000000000004,0.7101355247981546,0.21425439898892665,0.6672846450003692
jan15,full,response,0.02,0.35000000000000003,0.6906718569780853,0.21846151845347195,0.6469795532873909
jan15,full,response,0.02,0.4,0.667964244521338,0.22317630647141848,0.6233289832270542
jan15,full,response,0.02,0.45,0.639777970011534,0.22839876304276627,0.5940982174029807
jan15,full,response,0.02,0.5,0.6118079584775086,0.23412888816751526,0.5649821808440055
jan15,full,response,0.1,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response,0.1,0.05,0.7602364475201846,0.20156223720087882,0.7199240000800088
jan15,full,response,0.1,0.1,0.7507208765859283,0.20439332301154645,0.7098422119836191
jan15,full,response,0.1,0.15000000000000002,0.7365916955017301,0.2081659792550835,0.6949584996507134
jan15,full,response,0.1,0.2,0.7149653979238754,0.21288020593148999,0.6723893567375774
jan15,full,response,0.1,0.25,0.6884371395617072,0.21853600304076584,0.644729938953554
jan15,full,response,0.1,0.30000000000000004,0.6539071510957325,0.22513337058291116,0.6088804769791503
jan15,full,response,0.1,0.35000000000000003,0.6172866205305652,0.23267230855792587,0.57075215881898
jan15,full,response,0.1,0.4,0.5810265282583622,0.24115281696580998,0.5327959648652002
jan15,full,response,0.1,0.45,0.5439734717416378,0.25057489580656345,0.4938584925803251
jan15,full,response,0.1,0.5,0.5091551326412918,0.26093854508018643,0.45696742362525444
jan15,full,response,0.5,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response,0.5,0.05,0.7579296424452133,0.20202620584633663,0.717524401275946
jan15,full,response,0.5,0.1,0.745242214532872,0.2057400107569365,0.7040942123814847
jan15,full,response,0.5,0.15000000000000002,0.7220299884659745,0.2108141365548802,0.6798671611549985
jan15,full,response,0.5,0.2,0.6910322952710497,0.21724858324016771,0.6475825786230162
jan15,full,response,0.5,0.25,0.6511678200692042,0.22504335081279905,0.6061591499066443
jan15,full,response,0.5,0.30000000000000004,0.6100778546712803,0.2341984392727742,0.5632381668167254
jan15,full,response,0.5,0.35000000000000003,0.5718713956170703,0.24471384862009313,0.5229286258930517
jan15,full,response,0.5,0.4,0.5357554786620531,0.256589578854756,0.4844375628911019
jan15,full,response,0.5,0.45,0.5097318339100346,0.26982562997676257,0.4557667079146821
jan15,full,response,0.5,0.5,0.4896914648212226,0.28442200198611306,0.43280706442399997
jan15,full,response_tabular,0.005,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response_tabular,0.005,0.05,0.766291810841984,0.20046327112655185,0.7261991566166736
jan15,full,response_tabular,0.005,0.1,0.7644896193771625,0.20146216286288887,0.7241971868045848
jan15,full,response_tabular,0.005,0.15000000000000002,0.7608852364475203,0.20266939703209158,0.720351357041102
jan15,full,response_tabular,0.005,0.2,0.7587226066897347,0.20408497363416,0.7179056119629027
jan15,full,response_tabular,0.005,0.25,0.753820645905421,0.2057088926690942,0.7126788673716021
jan15,full,response_tabular,0.005,0.30000000000000004,0.7463956170703575,0.2075411541368941,0.7048873862429786
jan15,full,response_tabular,0.005,0.35000000000000003,0.7391147635524798,0.20958175803755974,0.6971984119449679
jan15,full,response_tabular,0.005,0.4,0.7254181084198384,0.21183070437109106,0.6830519675456203
jan15,full,response_tabular,0.005,0.45,0.71330738177624,0.21428799313748811,0.6704497831487424
jan15,full,response_tabular,0.005,0.5,0.7000432525951557,0.2169536243367509,0.6566525277278055
jan15,full,response_tabular,0.02,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response_tabular,0.02,0.05,0.7668685121107266,0.19999154945318828,0.7268702022200889
jan15,full,response_tabular,0.02,0.1,0.7654988465974626,0.20058234519956136,0.7253823775575503
jan15,full,response_tabular,0.02,0.15000000000000002,0.763840830449827,0.2014451090621998,0.723551808637387
jan15,full,response_tabular,0.02,0.2,0.7596597462514417,0.20257984104110366,0.719143778043221
jan15,full,response_tabular,0.02,0.25,0.7518021914648212,0.20398654113627293,0.7110048832375666
jan15,full,response_tabular,0.02,0.30000000000000004,0.7437283737024221,0.20566520934770754,0.7025953318328806
jan15,full,response_tabular,0.02,0.35000000000000003,0.7342848904267588,0.20761584567540753,0.6927617212916773
jan15,full,response_tabular,0.02,0.4,0.7210928489042676,0.2098384501193729,0.679125158880393
jan15,full,response_tabular,0.02,0.45,0.7104959630911187,0.2123330226796037,0.668029358555198
jan15,full,response_tabular,0.02,0.5,0.6945645905420992,0.2150995633560998,0.6515446778708792
jan15,full,response_tabular,0.1,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,full,response_tabular,0.1,0.05,0.7687427912341406,0.19873192161365877,0.7289964069114088
jan15,full,response_tabular,0.1,0.1,0.7710495963091119,0.19831086592473673,0.7313874231241645
jan15,full,response_tabular,0.1,0.15000000000000002,0.7691753171856978,0.1984095547563145,0.7294934062344348
jan15,full,response_tabular,0.1,0.2,0.7629036908881199,0.19902798810839198,0.7230980932664415
jan15,full,response_tabular,0.1,0.25,0.755262399077278,0.20016616598096929,0.7152291658810841
jan15,full,response_tabular,0.1,0.30000000000000004,0.7432237600922722,0.20182408837404636,0.7028589424174629
jan15,full,response_tabular,0.1,0.35000000000000003,0.7320501730103807,0.20400175528762318,0.691249821952856
