S.No.,State,District,2017 - 2018__area_ha,2017 - 2018__production_tonnes,2017 - 2018__yield_ton_per_ha,2018 - 2019__area_ha,2018 - 2019__production_tonnes,2018 - 2019__yield_ton_per_ha,2019 - 2020__area_ha,2019 - 2020__production_tonnes,2019 - 2020__yield_ton_per_ha,2020 - 2021__area_ha,2020 - 2021__production_tonnes,2020 - 2021__yield_ton_per_ha,2021 - 2022__area_ha,2021 - 2022__production_tonnes,2021 - 2022__yield_ton_per_ha,2022 - 2023__area_ha,2022 - 2023__production_tonnes,2022 - 2023__yield_ton_per_ha
44,Punjab,Sangrur,288000.0,1599000.0,5.55,290000.0,1682000.0,5.8,291000.0,1678000.0,5.77,291000.0,1532000.0,5.26,238800,989000,4.14,238700,1257700,5.27
45,Punjab,Tarn taran,186000.0,871000.0,4.68,187000.0,916000.0,4.9,188000.0,855000.0,4.55,187000.0,880000.0,4.71,185500,796000,4.29,189800,886400,4.67
46,Uttar Pradesh,Agra,137141.0,553638.0,4.04,132369.0,578320.0,4.37,137283.0,555307.0,4.04,137658.0,586148.0,4.26,141532,573205,4.05,130922,552753,4.22
47,Uttar Pradesh,Aligarh,223557.0,961295.0,4.3,221798.0,946190.0,4.27,223574.0,921572.0,4.12,223574.0,934986.0,4.18,232606,975782,4.19,182135,764238,4.2
48,Uttar Pradesh,Allahabad,210205.0,790673.0,3.76,210752.0,748837.0,3.55,210714.0,593160.0,2.82,210752.0,755631.0,3.59,222277,638602,2.87,244722,563350,2.3
49,Uttar Pradesh,Ambedkar nagar,117806.0,484300.0,4.11,119235.0,488740.0,4.1,119046.0,466422.0,3.92,119547.0,459300.0,3.84,123724,455799,3.68,118413,402367,3.4
50,Uttar Pradesh,Amethi,128799.0,499225.0,3.88,129363.0,458204.0,3.54,126155.0,389314.0,3.09,127185.0,493223.0,3.88,138543,445416,3.22,129528,381460,2.95
51,Uttar Pradesh,Amroha,90058.0,333755.0,3.71,88417.0,336604.0,3.81,89939.0,348334.0,3.87,92094.0,370218.0,4.02,96101,379407,3.95,92734,381508,4.11
52,Uttar Pradesh,Auraiya,102134.0,396076.0,3.88,101049.0,417939.0,4.14,102910.0,399702.0,3.88,102110.0,423757.0,4.15,105757,419644,3.97,103008,429543,4.17
53,Uttar Pradesh,Azamgarh,235094.0,808724.0,3.44,230824.0,852201.0,3.69,232369.0,802368.0,3.45,240293.0,849680.0,3.54,244953,850967,3.47,234260,840759,3.59
