S.No.,State,District,area_ha,production_tonnes,yield_ton_per_ha,season_label,season_start_year,season_end_year
67,Uttar Pradesh,Deoria,152006.0,505572.0,3.33,2018 - 2019,2018,2019
68,Uttar Pradesh,Etah,135884.0,522202.0,3.84,2018 - 2019,2018,2019
69,Uttar Pradesh,Etawah,96027.0,419734.0,4.37,2018 - 2019,2018,2019
70,Uttar Pradesh,Faizabad,106251.0,413104.0,3.89,2018 - 2019,2018,2019
71,Uttar Pradesh,Farrukhabad,75581.0,323638.0,4.28,2018 - 2019,2018,2019
72,Uttar Pradesh,Fatehpur,172432.0,687681.0,3.99,2018 - 2019,2018,2019
73,Uttar Pradesh,Firozabad,92948.0,350228.0,3.77,2018 - 2019,2018,2019
74,Uttar Pradesh,Gautam buddha nagar,44864.0,185647.0,4.14,2018 - 2019,2018,2019
75,Uttar Pradesh,Ghaziabad,28690.0,122019.0,4.25,2018 - 2019,2018,2019
76,Uttar Pradesh,Ghazipur,170198.0,560973.0,3.3,2018 - 2019,2018,2019
77,Uttar Pradesh,Gonda,146855.0,462593.0,3.15,2018 - 2019,2018,2019
78,Uttar Pradesh,Gorakhpur,181728.0,730099.0,4.02,2018 - 2019,2018,2019
79,Uttar Pradesh,Hamirpur,113456.0,364235.0,3.21,2018 - 2019,2018,2019
80,Uttar Pradesh,Hapur,42174.0,177848.0,4.22,2018 - 2019,2018,2019
81,Uttar Pradesh,Hardoi,311849.0,1159455.0,3.72,2018 - 2019,2018,2019
82,Uttar Pradesh,Hathras,81137.0,336232.0,4.14,2018 - 2019,2018,2019
83,Uttar Pradesh,Jalaun,143818.0,534094.0,3.71,2018 - 2019,2018,2019
84,Uttar Pradesh,Jaunpur,211334.0,784260.0,3.71,2018 - 2019,2018,2019
85,Uttar Pradesh,Jhansi,182907.0,595918.0,3.26,2018 - 2019,2018,2019
86,Uttar Pradesh,Kannauj,78024.0,358888.0,4.6,2018 - 2019,2018,2019
87,Uttar Pradesh,Kanpur dehat,120774.0,535103.0,4.43,2018 - 2019,2018,2019
