district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file
IND013007,Haryana,Hissar,2018 - 2019,2018,2019,221100.0,1096000.0,4.96,4960.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013007,Haryana,Hissar,2019 - 2020,2019,2020,224300.0,1022800.0,4.56,4560.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013007,Haryana,Hissar,2020 - 2021,2020,2021,231250.0,1149780.0,4.97,4970.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013007,Haryana,Hissar,2021 - 2022,2021,2022,206860.0,960660.0,4.64,4640.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013007,Haryana,Hissar,2022 - 2023,2022,2023,208130.0,1038630.0,4.99,4990.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013008,Haryana,Jhajjar,2017 - 2018,2017,2018,106200.0,494300.0,4.65,4650.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013008,Haryana,Jhajjar,2018 - 2019,2018,2019,105200.0,501000.0,4.76,4760.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013008,Haryana,Jhajjar,2019 - 2020,2019,2020,106600.0,512600.0,4.81,4810.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013008,Haryana,Jhajjar,2020 - 2021,2020,2021,102140.0,462800.0,4.53,4530.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013008,Haryana,Jhajjar,2021 - 2022,2021,2022,80310.0,353360.0,4.4,4400.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013008,Haryana,Jhajjar,2022 - 2023,2022,2023,94710.0,412490.0,4.36,4360.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013009,Haryana,Jind,2017 - 2018,2017,2018,216300.0,1091600.0,5.05,5050.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013009,Haryana,Jind,2018 - 2019,2018,2019,215000.0,1127000.0,5.24,5240.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013009,Haryana,Jind,2019 - 2020,2019,2020,214400.0,1030600.0,4.81,4810.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013009,Haryana,Jind,2020 - 2021,2020,2021,215600.0,1080370.0,5.01,5010.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013009,Haryana,Jind,2021 - 2022,2021,2022,205354.0,956950.0,4.66,4660.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013009,Haryana,Jind,2022 - 2023,2022,2023,202120.0,984620.0,4.87,4870.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013010,Haryana,Kaithal,2017 - 2018,2017,2018,173600.0,838900.0,4.83,4830.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013010,Haryana,Kaithal,2018 - 2019,2018,2019,215000.0,1057000.0,4.92,4920.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013010,Haryana,Kaithal,2019 - 2020,2019,2020,182200.0,839000.0,4.6,4600.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013010,Haryana,Kaithal,2020 - 2021,2020,2021,182000.0,900720.0,4.95,4950.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013010,Haryana,Kaithal,2021 - 2022,2021,2022,176551.0,816200.0,4.62,4620.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013010,Haryana,Kaithal,2022 - 2023,2022,2023,180060.0,847540.0,4.71,4710.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013011,Haryana,Karnal,2017 - 2018,2017,2018,176000.0,866500.0,4.92,4920.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013011,Haryana,Karnal,2018 - 2019,2018,2019,178500.0,1007000.0,5.64,5640.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013011,Haryana,Karnal,2019 - 2020,2019,2020,178400.0,864500.0,4.85,4850.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013011,Haryana,Karnal,2020 - 2021,2020,2021,186700.0,967300.0,5.18,5180.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013011,Haryana,Karnal,2021 - 2022,2021,2022,176594.0,901510.0,5.1,5100.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013011,Haryana,Karnal,2022 - 2023,2022,2023,186280.0,1003050.0,5.38,5380.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013012,Haryana,Kurukshetra,2017 - 2018,2017,2018,112600.0,542900.0,4.82,4820.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013012,Haryana,Kurukshetra,2018 - 2019,2018,2019,113000.0,560000.0,4.96,4960.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013012,Haryana,Kurukshetra,2019 - 2020,2019,2020,110400.0,520200.0,4.71,4710.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
IND013012,Haryana,Kurukshetra,2020 - 2021,2020,2021,111280.0,573540.0,5.15,5150.0,Wheat,Rabi,DES APY Query Report,data/yields/apy_query_report.xls
