candidate,hierarchy_weight,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
hier__scratch__encoder__ridge100__zero,0.225,284.48258668769563,219.20529468848707,5.463980474650515,311.41528107547146,284.33973924136376,293.35388460715023,0.7184873949579832,291.18004842305663
hier__none__history__extra__xgb1,0.5,291.1963936375133,227.97840399743842,-125.52699321697591,292.5295324365319,289.83820213224055,317.9301271685224,0.7563025210084033,291.1901304609498
hier__modis_pretrained__encoder__ridge1000__xgb1,0.325,284.390018845877,218.98158993386005,36.048606672035966,311.62720924229933,284.36839711739856,287.875181975327,0.7058823529411765,291.19391101286294
hier__modis_pretrained__history__extra__xgb1,0.5,291.202869520971,227.985102880141,-125.54053058765673,292.5291252303164,289.8460231008155,317.92437971029597,0.7563025210084033,291.1952218432685
hier__scratch__history__extra__xgb1,0.5,291.202869520971,227.985102880141,-125.54053058765673,292.5291252303164,289.8460231008155,317.92437971029597,0.7563025210084033,291.1952218432685
hier__modis_pretrained__physical__ridge100__ridge100,0.225,285.8112427075601,223.52162727719013,-36.82527804310119,308.56363784983114,284.61654364110325,310.72189833763605,0.7394957983193278,291.20066672651365
direct__scratch__ridge1000,0.375,288.009718272762,227.84363764902508,-85.28384745054736,304.4458724260647,284.46003779678165,329.53868813382365,0.7352941176470589,291.23133669209255
hier__modis_pretrained__encoder__ridge1000__zero,0.325,284.5122655592376,219.05215313247268,36.49917010023191,311.8300997962606,284.4878518199283,288.21497142260654,0.7058823529411765,291.33562068366604
hier__modis_pretrained__history__ridge1000__ridge1000,0.475,292.24840511233947,230.96790499851974,-100.21179199902384,289.9361997991168,291.0578204674635,317.41072230835886,0.7478991596638656,291.3727076228148
hier__scratch__physical__ridge100__ridge100,0.25,285.8202339307715,223.91600630610873,-30.86294255742873,308.90198003487006,285.00385551283364,306.5910847713737,0.7310924369747899,291.3865758523117
hier__none__physical__ridge1000__extra,0.375,286.4012786877938,224.53571117868924,-27.051706730611656,307.0891768829413,285.88008875218065,303.15050533802753,0.7184873949579832,291.4429557526774
hier__none__history__xgb1__ridge100,0.375,283.8596592981616,216.05372478690728,50.48641169585264,314.3740712970783,283.85471944204676,285.5293618950189,0.7058823529411765,291.4870273338621
hier__none__physical__xgb1__ridge100,0.375,283.8596592981616,216.05372478690728,50.48641169585264,314.3740712970783,283.85471944204676,285.5293618950189,0.7058823529411765,291.4870273338621
hier__scratch__encoder__ridge10__ridge1000,0.2,285.77874336267445,222.7069157613856,-36.26127536737622,310.3117205022994,284.74760452876853,309.0023334094922,0.726890756302521,291.6542029391042
hier__modis_pretrained__history__extra__xgb2,0.5,291.69741232127933,228.54278019992336,-127.18031838341714,292.9477515947762,290.3169303768666,318.6623055108113,0.7563025210084033,291.6648766535504
hier__none__history__extra__xgb2,0.5,291.69732994210364,228.51221713712937,-127.05751711392821,292.9686044173384,290.30275640447957,318.7920863248882,0.7563025210084033,291.6665051765063
hier__scratch__history__ridge100__ridge1000,0.475,292.7309371863146,231.68869724094503,-105.75434982383322,289.78307110453125,291.49790999671734,318.3376203812154,0.7563025210084033,291.6857138684694
hier__scratch__encoder__xgb1__ridge1000,0.5,292.3371014780902,231.4156750900926,-95.89919017348029,290.6686706148475,291.4112279972265,314.6593913173623,0.7436974789915967,291.6885253920636
hier__scratch__history__xgb1__ridge1000,0.5,292.3371014780902,231.4156750900926,-95.89919017348029,290.6686706148475,291.4112279972265,314.6593913173623,0.7436974789915967,291.6885253920636
hier__scratch__physical__xgb1__ridge1000,0.5,292.3371014780902,231.4156750900926,-95.89919017348029,290.6686706148475,291.4112279972265,314.6593913173623,0.7436974789915967,291.6885253920636
hier__scratch__history__extra__xgb2,0.5,291.7485843210418,228.59687955560392,-127.32001557283657,292.9730990596512,290.3738394698647,318.66287983643196,0.7563025210084033,291.7110267928999
direct__none__extra,0.45,285.7005991461937,221.31388730773944,83.43831989440439,310.27864030326276,285.4795529461636,296.7159759603002,0.7016806722689075,291.78984788545347
hier__modis_pretrained__history__ridge100__xgb2,0.5,291.44998628673306,229.71672034969978,-75.82369767042037,294.2697540346636,290.2448193267787,316.7219672189229,0.7394957983193278,291.8536364837271
hier__scratch__encoder__ridge1000__extra,0.4,285.43825649532903,221.68347057467454,2.4377136004452056,311.21730356147884,285.3432532669593,292.70708963947106,0.7142857142857143,291.85926745477406
hier__scratch__history__ridge100__xgb2,0.5,291.4756847145866,229.7466887337437,-75.96684501929158,294.25962829055607,290.27318159980086,316.7222803323876,0.7394957983193278,291.8710448298825
hier__scratch__physical__extra__extra,0.5,286.00192418780574,222.76653558347928,29.187667345420863,309.53741934918503,286.00188066682693,286.1596595166065,0.7100840336134454,291.88578709790585
hier__none__history__ridge100__xgb2,0.5,291.48529581406075,229.71067202318147,-75.69611827038653,294.3320061657766,290.2725147556525,316.83460904883697,0.7352941176470589,291.89377813738764
hier__modis_pretrained__history__ridge100__zero,0.5,291.3464231603888,229.40476769661535,-73.47627282481736,294.71121608196324,290.214700715283,315.8694425204741,0.7394957983193278,291.9046907795059
hier__none__history__ridge100__zero,0.5,291.3464231603888,229.40476769661535,-73.47627282481736,294.71121608196324,290.214700715283,315.8694425204741,0.7394957983193278,291.9046907795059
hier__scratch__history__ridge100__zero,0.5,291.3464231603888,229.40476769661535,-73.47627282481736,294.71121608196324,290.214700715283,315.8694425204741,0.7394957983193278,291.9046907795059
hier__none__history__ridge100__xgb1,0.5,291.38703967382804,229.4863141471706,-74.11814786672902,294.617433404562,290.2336960652467,316.1336682309279,0.7394957983193278,291.90630220436617
hier__modis_pretrained__encoder__ridge10__extra,0.15,285.8428892259798,222.8221101381517,14.514517957504845,310.1912725022798,285.7527324493035,292.93139658774425,0.7100840336134454,291.9074458508857
hier__modis_pretrained__history__ridge100__xgb1,0.5,291.3930600939747,229.4933720574902,-74.13180038729583,294.6176677109232,290.24056079009847,316.13133797387337,0.7394957983193278,291.9110871722428
hier__scratch__history__ridge100__xgb1,0.5,291.3930600939747,229.4933720574902,-74.13180038729583,294.6176677109232,290.24056079009847,316.13133797387337,0.7394957983193278,291.9110871722428
hier__modis_pretrained__encoder__ridge100__ridge1000,0.175,285.94929837995113,221.9252459261141,37.73588877171706,309.9304709641637,285.9492786491063,286.0555050208903,0.7100840336134454,291.944586593293
hier__modis_pretrained__history__extra__ridge100,0.35,291.1514530754588,228.5190015326848,-124.16486803122817,296.47329961090264,289.01803308232735,324.19963596186966,0.7478991596638656,291.94855971103686
