candidate,architecture,encoder_variant,state_feature_set,state_model,residual_model,period,rows,rmse,mae,bias,equal_state_rmse,mean_year_rmse,max_year_rmse,direction_accuracy,selection_score
hier__modis_pretrained__encoder__extra__zero,hierarchy,modis_pretrained,encoder,extra,zero,late,238,524.6295510211039,398.23719046004544,289.2453685122355,619.8330549425754,502.2351674333796,653.8794960374202,0.4495798319327731,542.8318311045407
hier__modis_pretrained__encoder__extra__zero,hierarchy,modis_pretrained,encoder,extra,zero,four_year,476,463.9196369915921,357.37174607398117,200.41480480271778,539.1450977540738,445.40218489543184,653.8794960374202,0.5651260504201681,478.0966391581725
hier__modis_pretrained__encoder__ridge1000__extra,hierarchy,modis_pretrained,encoder,ridge1000,extra,development,238,435.67560049721715,346.4938503301937,100.63570268959803,506.25379868237695,428.56989432741824,506.93490274824563,0.6764705882352942,451.5437235010574
hier__modis_pretrained__encoder__ridge1000__extra,hierarchy,modis_pretrained,encoder,ridge1000,extra,late,238,601.1430906382467,475.5169488391895,435.00068441759913,707.3476152366494,590.6228084494983,702.5947404741382,0.47058823529411764,625.0641512406603
hier__modis_pretrained__encoder__ridge1000__extra,hierarchy,modis_pretrained,encoder,ridge1000,extra,four_year,476,524.9696392605548,411.0053995846916,267.8181935535986,615.0746123281759,509.5963513884583,702.5947404741382,0.5735294117647058,543.6525605594359
hier__modis_pretrained__encoder__ridge1000__ridge100,hierarchy,modis_pretrained,encoder,ridge1000,ridge100,development,238,504.02359306447767,405.38100045778634,24.71803636379933,588.9566958385526,501.52618502449843,551.6387393437376,0.6848739495798319,524.6325167480015
hier__modis_pretrained__encoder__ridge1000__ridge100,hierarchy,modis_pretrained,encoder,ridge1000,ridge100,late,238,610.3294023664399,513.9886153387478,480.7685005355329,683.9250379883244,609.9023288489241,632.7305713926387,0.49159663865546216,628.621542892532
hier__modis_pretrained__encoder__ridge1000__ridge100,hierarchy,modis_pretrained,encoder,ridge1000,ridge100,four_year,476,559.7060665021427,459.684807898267,252.74326844966612,638.2097802291955,555.7142569367113,632.7305713926387,0.5882352941176471,578.3340425425481
hier__modis_pretrained__encoder__ridge1000__ridge1000,hierarchy,modis_pretrained,encoder,ridge1000,ridge1000,development,238,422.1244724444153,339.05355403293873,34.32008021335596,483.7456562772579,420.295723675751,459.5458815907544,0.7016806722689075,437.07258121045993
hier__modis_pretrained__encoder__ridge1000__ridge1000,hierarchy,modis_pretrained,encoder,ridge1000,ridge1000,late,238,589.5761608075921,485.9244955096623,446.4850011410044,671.9367942912148,587.616505504144,635.6466195131503,0.47478991596638653,609.6764053526358
hier__modis_pretrained__encoder__ridge1000__ridge1000,hierarchy,modis_pretrained,encoder,ridge1000,ridge1000,four_year,476,512.7324446673409,412.48902477130054,240.40254067718016,585.4523530952239,503.95611458994756,635.6466195131503,0.5882352941176471,528.7183392549633
hier__modis_pretrained__encoder__ridge1000__xgb1,hierarchy,modis_pretrained,encoder,ridge1000,xgb1,development,238,461.6034300560635,367.09668790026774,127.08565201799861,541.5458018297268,450.39495419906063,551.4994143951822,0.6764705882352942,478.78690403522853
hier__modis_pretrained__encoder__ridge1000__xgb1,hierarchy,modis_pretrained,encoder,ridge1000,xgb1,late,238,620.1244497702136,492.2416878666775,449.20978274481047,729.0539175386135,608.2581526516043,728.9907204850929,0.46218487394957986,644.3902424326612
hier__modis_pretrained__encoder__ridge1000__xgb1,hierarchy,modis_pretrained,encoder,ridge1000,xgb1,four_year,476,546.6406771556309,429.6691878834727,288.14771738140456,642.1804536724087,529.3265534253325,728.9907204850929,0.569327731092437,566.1970903522507
hier__modis_pretrained__encoder__ridge1000__xgb2,hierarchy,modis_pretrained,encoder,ridge1000,xgb2,development,238,459.1481539314338,365.39947144232735,123.44028832934681,537.7892648272023,448.5070018166397,546.7846522774255,0.6764705882352942,476.14814362667744
hier__modis_pretrained__encoder__ridge1000__xgb2,hierarchy,modis_pretrained,encoder,ridge1000,xgb2,late,238,615.6576359048503,488.4171994944178,445.339616215526,723.5695349188089,604.2768169961705,722.1065801671368,0.4579831932773109,639.79040593117
hier__modis_pretrained__encoder__ridge1000__xgb2,hierarchy,modis_pretrained,encoder,ridge1000,xgb2,four_year,476,543.0705994189857,426.90833546837257,284.3899522724364,637.483397911665,526.3919094064051,722.1065801671368,0.5672268907563025,562.5041265390104
hier__modis_pretrained__encoder__ridge1000__zero,hierarchy,modis_pretrained,encoder,ridge1000,zero,development,238,462.2660133060199,367.4420986320815,128.47200102783233,542.6477118829813,450.8332192145496,553.0059920578426,0.6764705882352942,479.50323942739266
hier__modis_pretrained__encoder__ridge1000__zero,hierarchy,modis_pretrained,encoder,ridge1000,zero,late,238,622.4625178127174,494.45111740780595,451.6005344655285,731.8484913237188,610.5096513619483,731.9079696190802,0.46218487394957986,646.8207945777755
hier__modis_pretrained__encoder__ridge1000__zero,hierarchy,modis_pretrained,encoder,ridge1000,zero,four_year,476,548.24695764755,430.9466080199437,290.0362677466804,644.2316173025965,530.671435288249,731.9079696190802,0.569327731092437,567.8492419714863
hier__modis_pretrained__encoder__ridge100__extra,hierarchy,modis_pretrained,encoder,ridge100,extra,development,238,786.0934124714032,649.7944639600086,321.96400610411774,906.7930853518974,731.3687889167829,1019.5398279358592,0.680672268907563,802.5871748028717
hier__modis_pretrained__encoder__ridge100__extra,hierarchy,modis_pretrained,encoder,ridge100,extra,late,238,755.3664270522746,650.0224462411893,620.2153353546967,851.1532295219696,748.9334168300923,847.3060566895699,0.4789915966386555,777.7048751141529
hier__modis_pretrained__encoder__ridge100__extra,hierarchy,modis_pretrained,encoder,ridge100,extra,four_year,476,770.8830301182713,649.908455100599,471.08967072940726,879.4133043591311,740.1511028734376,1019.5398279358592,0.5798319327731093,790.3326168672778
hier__modis_pretrained__encoder__ridge100__ridge100,hierarchy,modis_pretrained,encoder,ridge100,ridge100,development,238,837.8798055529927,706.2084022953442,247.30422301239096,990.5416711223045,803.0255788245763,1042.1750891878114,0.6638655462184874,867.3317152632166
hier__modis_pretrained__encoder__ridge100__ridge100,hierarchy,modis_pretrained,encoder,ridge100,ridge100,late,238,815.296720149601,704.2657557676374,673.5179053186785,893.674617339284,789.3339119200381,993.4434839143629,0.5084033613445378,828.400492389631
hier__modis_pretrained__encoder__ridge100__ridge100,hierarchy,modis_pretrained,encoder,ridge100,ridge100,four_year,476,826.6653828606281,705.2370790314908,460.41106416553475,943.3523000200624,796.1797453723071,1042.1750891878114,0.5861344537815126,848.2157027784065
hier__modis_pretrained__encoder__ridge100__ridge1000,hierarchy,modis_pretrained,encoder,ridge100,ridge1000,development,238,752.7454127699976,632.3984171115756,252.3298612808939,875.1777696052967,716.2446726910459,947.8029273225111,0.680672268907563,774.2283169590844
hier__modis_pretrained__encoder__ridge100__ridge1000,hierarchy,modis_pretrained,encoder,ridge100,ridge1000,late,238,775.8862435455792,669.8190443897092,635.9719619219081,853.0794713877297,756.8796622819842,927.5625253561059,0.48739495798319327,790.4329051902181
hier__modis_pretrained__encoder__ridge100__ridge1000,hierarchy,modis_pretrained,encoder,ridge100,ridge1000,four_year,476,764.4034011467845,651.1087307506424,444.15091160140105,864.1992573806315,736.5621674865151,947.8029273225111,0.5840336134453782,782.3920567901789
hier__modis_pretrained__encoder__ridge100__xgb1,hierarchy,modis_pretrained,encoder,ridge100,xgb1,development,238,818.1732479591356,670.3844583875085,350.18708132636823,947.3540569155422,754.562290069862,1070.8583761672505,0.6722689075630253,834.5657107259187
hier__modis_pretrained__encoder__ridge100__xgb1,hierarchy,modis_pretrained,encoder,ridge100,xgb1,late,238,772.1092687838274,666.3595376353329,634.6616543636023,868.9054628197896,766.8388221872283,856.8996001563359,0.46218487394957986,794.9907056436682
hier__modis_pretrained__encoder__ridge100__xgb1,hierarchy,modis_pretrained,encoder,ridge100,xgb1,four_year,476,795.4747596931966,668.3719980114207,492.42436784498534,908.9764607712373,760.7005561285451,1070.8583761672505,0.5672268907563025,815.1566340715439
hier__modis_pretrained__encoder__ridge100__xgb2,hierarchy,modis_pretrained,encoder,ridge100,xgb2,development,238,815.0363814822935,668.7904866564522,346.36057274361116,943.0581467317193,752.5750754202201,1065.4888958181066,0.6722689075630253,831.4264962791315
hier__modis_pretrained__encoder__ridge100__xgb2,hierarchy,modis_pretrained,encoder,ridge100,xgb2,late,238,768.4925440015837,662.5095281208461,630.7897007283417,864.4789623037749,762.8742227892435,855.630410667647,0.46638655462184875,791.0845682740464
hier__modis_pretrained__encoder__ridge100__xgb2,hierarchy,modis_pretrained,encoder,ridge100,xgb2,four_year,476,792.1063985746412,665.6500073886492,488.5751367359765,904.6221709594774,757.7246491047318,1065.4888958181066,0.569327731092437,811.6399043033729
hier__modis_pretrained__encoder__ridge100__zero,hierarchy,modis_pretrained,encoder,ridge100,zero,development,238,818.999404474768,670.6133000964525,351.60926428551136,948.5747003258244,754.9067784797571,1072.5162561962436,0.6722689075630253,835.3700719387793
hier__modis_pretrained__encoder__ridge100__zero,hierarchy,modis_pretrained,encoder,ridge100,zero,late,238,774.5694545486441,668.8001458621981,637.1337976787177,871.8401157369299,769.3519359240047,859.1040312186003,0.46218487394957986,797.5827401895556
hier__modis_pretrained__encoder__ridge100__zero,hierarchy,modis_pretrained,encoder,ridge100,zero,four_year,476,797.0940548171867,669.7067229793253,494.37153098211456,911.0156830445925,762.129357201881,1072.5162561962436,0.5672268907563025,816.8332874702116
hier__modis_pretrained__encoder__ridge10__extra,hierarchy,modis_pretrained,encoder,ridge10,extra,development,238,854.5283084753472,748.3817422242169,140.8730401980997,1000.5317491934305,839.8167419982558,997.6979310144694,0.6680672268907563,887.3512770355951
hier__modis_pretrained__encoder__ridge10__extra,hierarchy,modis_pretrained,encoder,ridge10,extra,late,238,826.1283753989753,689.7224375185838,634.5884040301428,977.5578046882969,811.3906797958091,966.7395046379852,0.5210084033613446,860.3013088205141
hier__modis_pretrained__encoder__ridge10__extra,hierarchy,modis_pretrained,encoder,ridge10,extra,four_year,476,840.4483097207967,719.0520898714003,387.7307221141212,989.1114807368956,825.6037108970324,997.6979310144694,0.5945378151260504,873.9029527688804
hier__modis_pretrained__encoder__ridge10__ridge100,hierarchy,modis_pretrained,encoder,ridge10,ridge100,development,238,928.2116976660326,810.268578330174,72.5459901100804,1102.5267641974613,921.7468573945912,1031.1072092925872,0.6680672268907563,970.1742542310294
hier__modis_pretrained__encoder__ridge10__ridge100,hierarchy,modis_pretrained,encoder,ridge10,ridge100,late,238,893.4842076473782,744.9710003311372,689.2965908689337,1035.8068612602551,851.5299263816803,1122.1048952750973,0.5504201680672269,918.576300734173
hier__modis_pretrained__encoder__ridge10__ridge100,hierarchy,modis_pretrained,encoder,ridge10,ridge100,four_year,476,911.0134425460806,777.6197893306556,380.9212904895071,1069.6871317365526,886.6383918881356,1122.1048952750973,0.6092436974789915,944.5881021792123
hier__modis_pretrained__encoder__ridge10__ridge1000,hierarchy,modis_pretrained,encoder,ridge10,ridge1000,development,238,838.1339954566862,738.1821041108788,74.68013654057967,983.573780680785,832.1830895209984,931.8821359330602,0.6680672268907563,873.0062152787889
hier__modis_pretrained__encoder__ridge10__ridge1000,hierarchy,modis_pretrained,encoder,ridge10,ridge1000,late,238,850.9903080578252,712.1865540148606,651.1766317203158,987.5031168519452,819.8306116594595,1048.00219752069,0.5462184873949579,877.3285861567638
hier__modis_pretrained__encoder__ridge10__ridge1000,hierarchy,modis_pretrained,encoder,ridge10,ridge1000,four_year,476,844.5866144891655,725.1843290628698,362.92838413044774,985.5404070445309,826.0068505902289,1048.00219752069,0.6071428571428571,875.1801216532726
hier__modis_pretrained__encoder__ridge10__xgb1,hierarchy,modis_pretrained,encoder,ridge10,xgb1,development,238,881.3726046180085,766.2198890564157,168.52209970128757,1035.6704963441484,861.0530719696142,1049.2159679476017,0.6722689075630253,914.8671943874449
hier__modis_pretrained__encoder__ridge10__xgb1,hierarchy,modis_pretrained,encoder,ridge10,xgb1,late,238,840.6895995438997,705.2004761002452,648.9072605303155,992.9566241853031,827.778149182237,974.5512343092879,0.5042016806722689,875.5284931138349
hier__modis_pretrained__encoder__ridge10__xgb1,hierarchy,modis_pretrained,encoder,ridge10,xgb1,four_year,476,861.2713483427899,735.7101825783304,408.7146801158015,1014.538376433146,844.4156105759255,1049.2159679476017,0.5882352941176471,895.3741709236629
hier__modis_pretrained__encoder__ridge10__xgb2,hierarchy,modis_pretrained,encoder,ridge10,xgb2,development,238,879.0221215398492,765.2962081913042,164.84134287156326,1032.1252224999828,859.4875901364652,1043.7726208845675,0.6722689075630253,912.4142639290366
hier__modis_pretrained__encoder__ridge10__xgb2,hierarchy,modis_pretrained,encoder,ridge10,xgb2,late,238,837.4620317113912,701.8296158848816,645.0659828996157,988.8548440795221,824.0529955899681,973.315566308053,0.5084033613445378,871.9579757730683
