correction_candidate,gamma,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
d2_effect_minus_no_future,1.5,255.74644190982113,184.08439836945922,2.4680444932120675,264.90744910686976,254.74564400312738,277.3487281060858,0.7899159663865546,257.78649423240984
d2_full_minus_no_future,1.0,255.27960685548834,186.24391305276356,-13.184609673770892,266.42920673648564,254.2591002753474,277.06233696366655,0.7857142857142857,257.8118801807024
d2_full_minus_no_future,1.5,255.2974633375422,186.17991920438,-15.88489211523869,266.5545920076586,254.22541270340702,277.5970690924196,0.7899159663865546,257.84373284653753
d2_effect_minus_no_future,1.0,255.61693817776012,184.6741524554359,-0.9493186014703875,265.52054554402986,254.6554187431019,276.8057412723171,0.7815126050420168,257.852460160663
d2_effect_minus_no_future,1.75,256.0164941126837,184.00498269132,4.1767260405532936,264.78626189312763,254.98929861916764,277.90005695351243,0.7899159663865546,257.9521371844157
d2_effect_minus_base,2.0,255.86240230507596,184.17971881185528,13.272894214014695,264.85616509963984,255.23413257782337,273.153576781554,0.7647058823529411,257.9537755719038
d2_effect_minus_base,0.75,255.63903572519325,185.21553224595706,0.11230733598344954,265.85343159835674,254.8492053100897,274.9290245155103,0.773109243697479,257.99517708970825
d2_full_minus_base,3.25,255.39673617287457,190.0914450828867,-13.331214892930701,266.5987014184109,254.69232320681658,273.6478856429824,0.7689075630252101,258.0211242427441
d2_full_minus_no_future,0.75,255.490657721962,186.4368718172472,-11.834468453036992,266.6216521420658,254.49374915562754,277.0416498098628,0.7773109243697479,258.0241791854043
d2_future_ensemble_minus_base,2.25,255.79617994207607,185.6502384594627,11.257625271125617,265.40841182794753,255.11392908102198,273.78392805805066,0.7647058823529411,258.02867519828044
d2_broad_minus_no_future,0.5,255.68933496780397,185.88716645107306,-1.3472937056661205,266.0034286883469,254.78739132796431,276.2448197985112,0.773109243697479,258.0423724879798
d2_effect_minus_no_future,0.75,255.75769455761926,185.1298109508029,-2.658000148811614,266.01160033862595,254.80921442452072,276.81518111056045,0.7857142857142857,258.08405096959626
d2_future_ensemble_minus_no_future,3.75,256.4241285143105,184.9299531517587,10.100534555124256,264.2449059627153,255.24464211354848,279.81100848405947,0.8109243697478992,258.0844512762212
d2_full_minus_no_future,1.75,255.52633994127254,186.24354427372452,-17.235033335972588,266.8721829401433,254.4263927188535,278.1101654726724,0.7857142857142857,258.08781388538546
d2_future_ensemble_minus_no_future,0.5,255.70857612891953,185.97860695945838,-5.399434211374031,266.36286158167184,254.7740879424785,276.6153337622036,0.7815126050420168,258.13852544549735
d2_future_ensemble_minus_base,0.5,255.75794505677686,186.20313790056707,-3.552562554843991,266.33909706795066,254.9210731777718,275.59407270755435,0.7773109243697479,258.19401508981906
d2_full_minus_base,0.5,255.70383937348853,186.74126162063345,-8.63745557577305,266.6970760469379,254.83275963436654,275.9210997178343,0.7857142857142857,258.23437860707037
d2_effect_minus_no_future,2.0,256.422909694233,183.9739083695017,5.8854075878945205,264.78893258016797,255.36469503059135,278.6365911284564,0.7983193277310925,258.2498617498063
d2_broad_minus_no_future,1.75,256.27088547301884,185.11726674932234,14.744584007256817,265.2817149361286,255.3118112674843,277.4623365082459,0.7941176470588235,258.28382428741264
d2_effect_minus_base,2.25,256.2807114652192,184.37663962900342,15.905011589620944,265.1013898299194,255.67397176488862,273.29847831360934,0.7647058823529411,258.3341961313116
d2_full_minus_no_future,0.5,255.8479614891323,186.66700716591183,-10.484327232303093,266.98380752066157,254.87317812438465,277.1855619262164,0.7773109243697479,258.3882271558277
d2_effect_minus_base,0.5,255.96845471966634,185.9451656325125,-2.519810039622799,266.4952332624791,255.13453543970974,275.7795987124965,0.7773109243697479,258.39166953538034
d2_broad_minus_base,0.5,256.04824157068145,186.32921172317864,0.4995779508639232,266.34929881187236,255.23022727586232,275.6809753343002,0.7773109243697479,258.4190023072744
d2_effect_minus_no_future,0.5,256.0352284697845,185.78152827227345,-4.366681696152843,266.62481009466484,255.0954799468189,277.01201088300667,0.7815126050420168,258.4476867452632
d2_full_minus_no_future,2.0,255.90140822007524,186.51176846916093,-18.585174556706487,267.3590066420778,254.77219041371,278.78597230698705,0.7899159663865546,258.48350337398455
d2_broad_minus_base,0.75,256.203545565676,186.196842460777,4.6413893217135325,266.22004133804745,255.41688660828834,275.4785614075719,0.7815126050420168,258.5110047694219
d2_future_ensemble_minus_base,2.5,256.35855228633216,186.15778203496015,13.373366389121273,265.9954197321088,255.67692548846497,274.358924929371,0.7689075630252101,258.5973624483095
d2_full_minus_base,3.5,255.94226470705982,190.90174404827687,-13.757920285399575,267.28307222216347,255.23867990115826,274.2033614353349,0.773109243697479,258.60157038436034
d2_effect_minus_no_future,2.25,256.96504163884697,184.1756937702463,7.594089135235747,264.9154574220521,255.8710941021361,279.556866781746,0.8025210084033614,258.67915870047057
d2_broad_minus_no_future,0.25,256.2346853337384,186.63560641743615,-4.565669248250708,266.973652124219,255.32021417695302,276.94894970898974,0.773109243697479,258.6908092421622
d2_future_ensemble_minus_no_future,4.0,257.1312837605468,185.58996673638148,11.292839844854882,264.80197637931394,255.91383257075822,280.90597908306796,0.8109243697478992,258.74459411779145
d2_broad_minus_base,0.25,256.31370702456906,186.7951230238045,-3.6422334199856863,267.0153434237165,255.4466036142849,276.51195693681507,0.773109243697479,258.77234027178486
d2_future_ensemble_minus_no_future,0.25,256.3077470349696,186.74080995782145,-6.591739501104668,267.2391873855083,255.37421086063227,277.22995649996665,0.7773109243697479,258.80722307901993
