test_year,normal,feature_set,model,train_rows,test_rows,train_year_max,features
2016,trend5,history,xgb_1p0,357,119,2015,18
2016,trend5,history,xgb_2p0,357,119,2015,18
2016,trend5,history,state_ridge_100p0,357,119,2015,18
2016,trend5,physical,ridge_100p0,357,119,2015,78
2016,trend5,physical,ridge_1000p0,357,119,2015,78
2016,trend5,physical,huber_10p0,357,119,2015,78
2016,trend5,physical,extra_3p0,357,119,2015,78
2016,trend5,physical,xgb_1p0,357,119,2015,78
2016,trend5,physical,xgb_2p0,357,119,2015,78
2016,trend5,physical,state_ridge_100p0,357,119,2015,78
2016,trend5,modis,ridge_100p0,357,119,2015,78
2016,trend5,modis,ridge_1000p0,357,119,2015,78
2016,trend5,modis,huber_10p0,357,119,2015,78
2016,trend5,modis,extra_3p0,357,119,2015,78
2016,trend5,modis,xgb_1p0,357,119,2015,78
2016,trend5,modis,xgb_2p0,357,119,2015,78
2016,trend5,modis,state_ridge_100p0,357,119,2015,78
2016,trend5,physical_modis,ridge_100p0,357,119,2015,138
2016,trend5,physical_modis,ridge_1000p0,357,119,2015,138
2016,trend5,physical_modis,huber_10p0,357,119,2015,138
2016,trend5,physical_modis,extra_3p0,357,119,2015,138
2016,trend5,physical_modis,xgb_1p0,357,119,2015,138
2016,trend5,physical_modis,xgb_2p0,357,119,2015,138
2016,trend5,physical_modis,state_ridge_100p0,357,119,2015,138
2016,ewma5,history,ridge_100p0,595,119,2015,17
2016,ewma5,history,ridge_1000p0,595,119,2015,17
2016,ewma5,history,huber_10p0,595,119,2015,17
2016,ewma5,history,extra_3p0,595,119,2015,17
2016,ewma5,history,xgb_1p0,595,119,2015,17
2016,ewma5,history,xgb_2p0,595,119,2015,17
2016,ewma5,history,state_ridge_100p0,595,119,2015,17
2016,ewma5,physical,ridge_100p0,595,119,2015,77
2016,ewma5,physical,ridge_1000p0,595,119,2015,77
2016,ewma5,physical,huber_10p0,595,119,2015,77
2016,ewma5,physical,extra_3p0,595,119,2015,77
2016,ewma5,physical,xgb_1p0,595,119,2015,77
2016,ewma5,physical,xgb_2p0,595,119,2015,77
2016,ewma5,physical,state_ridge_100p0,595,119,2015,77
2016,ewma5,modis,ridge_100p0,595,119,2015,77
2016,ewma5,modis,ridge_1000p0,595,119,2015,77
2016,ewma5,modis,huber_10p0,595,119,2015,77
2016,ewma5,modis,extra_3p0,595,119,2015,77
2016,ewma5,modis,xgb_1p0,595,119,2015,77
2016,ewma5,modis,xgb_2p0,595,119,2015,77
2016,ewma5,modis,state_ridge_100p0,595,119,2015,77
2016,ewma5,physical_modis,ridge_100p0,595,119,2015,137
2016,ewma5,physical_modis,ridge_1000p0,595,119,2015,137
2016,ewma5,physical_modis,huber_10p0,595,119,2015,137
2016,ewma5,physical_modis,extra_3p0,595,119,2015,137
2016,ewma5,physical_modis,xgb_1p0,595,119,2015,137
2016,ewma5,physical_modis,xgb_2p0,595,119,2015,137
2016,ewma5,physical_modis,state_ridge_100p0,595,119,2015,137
2017,weighted3,history,ridge_100p0,714,119,2016,18
2017,weighted3,history,ridge_1000p0,714,119,2016,18
2017,weighted3,history,huber_10p0,714,119,2016,18
2017,weighted3,history,extra_3p0,714,119,2016,18
2017,weighted3,history,xgb_1p0,714,119,2016,18
2017,weighted3,history,xgb_2p0,714,119,2016,18
2017,weighted3,history,state_ridge_100p0,714,119,2016,18
2017,weighted3,physical,ridge_100p0,714,119,2016,78
2017,weighted3,physical,ridge_1000p0,714,119,2016,78
2017,weighted3,physical,huber_10p0,714,119,2016,78
2017,weighted3,physical,extra_3p0,714,119,2016,78
2017,weighted3,physical,xgb_1p0,714,119,2016,78
2017,weighted3,physical,xgb_2p0,714,119,2016,78
2017,weighted3,physical,state_ridge_100p0,714,119,2016,78
2017,weighted3,modis,ridge_100p0,714,119,2016,78
2017,weighted3,modis,ridge_1000p0,714,119,2016,78
2017,weighted3,modis,huber_10p0,714,119,2016,78
2017,weighted3,modis,extra_3p0,714,119,2016,78
2017,weighted3,modis,xgb_1p0,714,119,2016,78
2017,weighted3,modis,xgb_2p0,714,119,2016,78
2017,weighted3,modis,state_ridge_100p0,714,119,2016,78
2017,weighted3,physical_modis,ridge_100p0,714,119,2016,138
2017,weighted3,physical_modis,ridge_1000p0,714,119,2016,138
2017,weighted3,physical_modis,huber_10p0,714,119,2016,138
2017,weighted3,physical_modis,extra_3p0,714,119,2016,138
2017,weighted3,physical_modis,xgb_1p0,714,119,2016,138
2017,weighted3,physical_modis,xgb_2p0,714,119,2016,138
2017,weighted3,physical_modis,state_ridge_100p0,714,119,2016,138
2017,mean5,history,ridge_100p0,714,119,2016,18
2017,mean5,history,ridge_1000p0,714,119,2016,18
2017,mean5,history,huber_10p0,714,119,2016,18
2017,mean5,history,extra_3p0,714,119,2016,18
2017,mean5,history,xgb_1p0,714,119,2016,18
2017,mean5,history,xgb_2p0,714,119,2016,18
2017,mean5,history,state_ridge_100p0,714,119,2016,18
2017,mean5,physical,ridge_100p0,714,119,2016,78
2017,mean5,physical,ridge_1000p0,714,119,2016,78
2017,mean5,physical,huber_10p0,714,119,2016,78
2017,mean5,physical,extra_3p0,714,119,2016,78
2017,mean5,physical,xgb_1p0,714,119,2016,78
