district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file,proxy_filled,proxy_source_district,proxy_overlap_years,proxy_selection_rmse,proxy_selection_mae
IND013003,Haryana,Charkhi Dadri,2014 - 2015,2014,2015,107000.0,371000.0,3.47,3470.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
IND013003,Haryana,Charkhi Dadri,2015 - 2016,2015,2016,107000.0,418000.0,3.91,3910.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
IND013003,Haryana,Charkhi Dadri,2016 - 2017,2016,2017,105100.0,483000.0,4.6,4600.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,True,Rohtak,6,380.81053906984596,358.3333333333333
IND013003,Haryana,Charkhi Dadri,2017 - 2018,2017,2018,54800.0,225600.0,4.12,4120.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013003,Haryana,Charkhi Dadri,2018 - 2019,2018,2019,54600.0,273000.0,5.0,5000.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013003,Haryana,Charkhi Dadri,2019 - 2020,2019,2020,50100.0,228900.0,4.57,4570.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013003,Haryana,Charkhi Dadri,2020 - 2021,2020,2021,5090.0,25390.0,4.99,4990.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013003,Haryana,Charkhi Dadri,2021 - 2022,2021,2022,33188.0,136870.0,4.12,4120.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013003,Haryana,Charkhi Dadri,2022 - 2023,2022,2023,37690.0,137940.0,3.66,3660.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013004,Haryana,Faridabad,2010 - 2011,2010,2011,31683.0,145000.0,4.58,4580.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
